sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
FJ196847.1_1997	1I_A	1	1I	1I_A	-	-	-	-
KY586545.1_2004	1I_A	1	1I	1I_A	-	-	-	-
MW945835.1_1997	1I_A	1	1I	1I_A	-	-	-	-
MW946016.1_1995	1I_A	1	1I	1I_A	-	-	-	-
MW946160.1_1998	1I_A	1	1I	1I_A	-	-	-	-
AY732483.1_1981	1I_B	1	1I	1I_B	-	-	-	-
KJ649286.1_2011-12-31	1I_B	1	1I	1I_B	-	-	-	-
KU509258.1_2010	1I_B	1	1I	1I_B	-	-	-	-
MW945829.1_1995	1I_B	1	1I	1I_B	-	-	-	-
MW946065.1_1996	1I_B	1	1I	1I_B	-	-	-	-
OK040060.1_2011	1I_B	1	1I	1I_B	-	-	-	-
AB608789.1_1994	1I_C_outgroup	1	1I	1I_C	-	-	-	outgroup
EU482789.1_2003	1I_C	1	1I	1I_C	-	-	-	-
EU677173.1_2007	1I_C	1	1I	1I_C	-	-	-	-
FJ410269.1_2008	1I_C	1	1I	1I_C	-	-	-	-
FJ898412.1_2006	1I_C	1	1I	1I_C	-	-	-	-
GQ199805.1_2007	1I_C	1	1I	1I_C	-	-	-	-
GQ199833.1_2004	1I_C	1	1I	1I_C	-	-	-	-
GQ199837.1_2005	1I_C	1	1I	1I_C	-	-	-	-
GU131753.1_2008	1I_C	1	1I	1I_C	-	-	-	-
GU131792.1_2008	1I_C	1	1I	1I_C	-	-	-	-
FJ639678.1_2003	1I_D	1	1I	1I_D	-	-	-	-
FJ850069.1_2003	1I_D	1	1I	1I_D	-	-	-	-
FJ882549.1_2007	1I_D	1	1I	1I_D	-	-	-	-
GQ199775.1_2007	1I_D	1	1I	1I_D	-	-	-	-
JQ287664.1_2004	1I_D	1	1I	1I_D	-	-	-	-
FJ410230.1_2008	1I_E.4_outgroup	1	1I	1I_E	1I_E.4	-	-	outgroup
GU131824.1_2008	1I_E.1_outgroup	1	1I	1I_E	1I_E.1	-	-	outgroup
KC759167.1_2012-01-09	1I_E	1	1I	1I_E	-	-	-	-
KY586530.1_2002	1I_E	1	1I	1I_E	-	-	-	-
LC428075.1_2017	1I_E.3	1	1I	1I_E	1I_E.3	-	-	-
MG840570.1_2016	1I_E	1	1I	1I_E	1I_E.1	-	-	-
MG840578.1_2017	1I_E.1	1	1I	1I_E	1I_E.1	-	-	-
MN018326.1_2017-09-19	1I_E.1	1	1I	1I_E	1I_E.1	-	-	-
MN018333.1_2016-02-25	1I_E.1	1	1I	1I_E	1I_E.1	-	-	-
MN933669.1_2018-10-16	1I_E.1	1	1I	1I_E	1I_E.1	-	-	-
MW265665.1_2016-08-07	1I_E.4	1	1I	1I_E	1I_E.4	-	-	-
MW265666.1_2016-08-22	1I_E.4	1	1I	1I_E	1I_E.4	-	-	-
MW265667.1_2016-02-09	1I_E	1	1I	1I_E	-	-	-	-
MW265694.1_2012-05-16	1I_E.2_outgroup	1	1I	1I_E	1I_E.2	-	-	outgroup
MW265710.1_2016-04-27	1I_E.2	1	1I	1I_E	1I_E.2	-	-	-
MW315182.1_2017-03-10	1I_E.2	1	1I	1I_E	1I_E.2	-	-	-
MW315184.1_2017-04-12	1I_E.2	1	1I	1I_E	1I_E.2	-	-	-
MW315188.1_2017-03-17	1I_E.2	1	1I	1I_E	1I_E.2	-	-	-
MW315190.1_2017-03-29	1I_E.2	1	1I	1I_E	1I_E.2	-	-	-
MW315195.1_2017-06-05	1I_E.2	1	1I	1I_E	1I_E.2	-	-	-
OQ426604.1_2019-04-23	1I_E.1	1	1I	1I_E	1I_E.1	-	-	-
OQ426650.1_2017-02-24	1I_E.3	1	1I	1I_E	1I_E.3	-	-	-
OQ426707.1_2017-07-06	1I_E.3	1	1I	1I_E	1I_E.3	-	-	-
OQ832613.1_2020-09	1I_E.3	1	1I	1I_E	1I_E.3	-	-	-
OQ832614.1_2020-09	1I_E.3	1	1I	1I_E	1I_E.3	-	-	-
PP269626.1_2013-09-06	1I_E.3_outgroup	1	1I	1I_E	1I_E.3	-	-	outgroup
PP269634.1_2015-10-12	1I_E.4	1	1I	1I_E	1I_E.4	-	-	-
PP269662.1_2015-01-07	1I_E.3	1	1I	1I_E	1I_E.3	-	-	-
PP269735.1_2015-12-22	1I_E.4	1	1I	1I_E	1I_E.4	-	-	-
PP269752.1_2016-12-21	1I_E.4	1	1I	1I_E	1I_E.4	-	-	-
MN912178.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
MN912182.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
MN912183.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
MN912185.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
MN912188.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
MN912190.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
MN912192.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1.1	-	-
PP269610.1_2015-05-28	1I_E.1.1_outgroup	1	1I	1I_E	1I_E.1	1I_E.1.1	-	outgroup
MN912152.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
MN912165.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
MN912167.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
MN912168.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
MN912169.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
MN912175.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
MN912176.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1.2	-	-
PP269756.1_2017-02-06	1I_E.1.2_outgroup	1	1I	1I_E	1I_E.1	1I_E.1.2	-	outgroup
FJ196848.1_1999	1I_F	1	1I	1I_F	-	-	-	-
KU509260.1_2008	1I_F	1	1I	1I_F	-	-	-	-
KY586516.1_1998	1I_F_outgroup	1	1I	1I_F	-	-	-	outgroup
MW946055.1_2003	1I_F	1	1I	1I_F	-	-	-	-
MW946075.1_2010	1I_F	1	1I	1I_F	-	-	-	-
MW946093.1_1996	1I_F	1	1I	1I_F	-	-	-	-
ON038484.1_2009-12-14	1I_F	1	1I	1I_F	-	-	-	-
GU131805.1_2008	1I_G	1	1I	1I_G	-	-	-	-
GU131811.1_2008	1I_G	1	1I	1I_G	-	-	-	-
HQ624983.1_2007	1I_G	1	1I	1I_G	-	-	-	-
KT827369.1_2011	1I_G	1	1I	1I_G	-	-	-	-
KY586528.1_2002	1I_G	1	1I	1I_G	-	-	-	-
MW946158.1_1999	1I_G	1	1I	1I_G	-	-	-	-
EU482811.1_2006	1I_H.2	1	1I	1I_H	1I_H.2	-	-	-
GU131678.1_2008	1I_H.2	1	1I	1I_H	1I_H.2	-	-	-
GU131749.1_2008	1I_H.2	1	1I	1I_H	1I_H.2	-	-	-
GU131801.1_2008	1I_H.2	1	1I	1I_H	1I_H.2	-	-	-
HM181952.1_2007	1I_H.2	1	1I	1I_H	1I_H.2	-	-	-
KC172834.1_2008-10-06	1I_H.3	1	1I	1I_H	1I_H.3	-	-	-
KJ755855.1_2013-07	1I_H.1	1	1I	1I_H	1I_H.1	-	-	-
KY586396.1_2004	1I_H.3	1	1I	1I_H	1I_H.3	-	-	-
KY849741.1_2008-10-06	1I_H.3	1	1I	1I_H	1I_H.3	-	-	-
MN960676.1_2019-11-16	1I_H.1	1	1I	1I_H	1I_H.1	-	-	-
MW386867.1_2019-10	1I_H.1	1	1I	1I_H	1I_H.1	-	-	-
MW945886.1_2004	1I_H.3_outgroup	1	1I	1I_H	1I_H.3	-	-	outgroup
MW945932.1_2003	1I_H.1_outgroup	1	1I	1I_H	1I_H.1	-	-	outgroup
MW945936.1_2011	1I_H	1	1I	1I_H	-	-	-	-
MW946067.1_2003	1I_H.2_outgroup	1	1I	1I_H	1I_H.2	-	-	outgroup
MW946070.1_2006	1I_H.3	1	1I	1I_H	1I_H.3	-	-	-
MW946105.1_2006	1I_H.3	1	1I	1I_H	1I_H.3	-	-	-
MW946134.1_1996	1I_H_outgroup	1	1I	1I_H	-	-	-	outgroup
MW946178.1_1997	1I_H	1	1I	1I_H	-	-	-	-
ON123666.1_2018	1I_H.1	1	1I	1I_H	1I_H.1	-	-	-
OQ080034.1_2020-08-17	1I_H.1	1	1I	1I_H	1I_H.1	-	-	-
JF459993.1_2002	1I_J	1	1I	1I_J	-	-	-	-
MG840548.1_2015	1I_J	1	1I	1I_J	-	-	-	-
MN933656.1_2014-09-23	1I_J	1	1I	1I_J	-	-	-	-
MT397276.1_2015-11	1I_J	1	1I	1I_J	-	-	-	-
MW793709.1_2018-07	1I_J	1	1I	1I_J	-	-	-	-
MW945782.1_2000	1I_J	1	1I	1I_J	-	-	-	-
MW945806.1_1998	1I_J_outgroup	1	1I	1I_J	-	-	-	outgroup
FJ410257.1_2008	1I_K.7	1	1I	1I_K	1I_K.7	-	-	-
FJ469907.1_2003	1I_K.5_outgroup	1	1I	1I_K	1I_K.5	-	-	outgroup
FJ469909.1_2003	1I_K.4_outgroup	1	1I	1I_K	1I_K.4	-	-	outgroup
GQ868619.1_2003	1I_K.7	1	1I	1I_K	1I_K.7	-	-	-
GU131752.1_2008	1I_K.7	1	1I	1I_K	1I_K.7	-	-	-
HM181970.1_2008	1I_K.7	1	1I	1I_K	1I_K.7	-	-	-
KC762621.1_2008-02-15	1I_K.4	1	1I	1I_K	1I_K.4	-	-	-
KC762627.1_2008-04-17	1I_K.4	1	1I	1I_K	1I_K.4	-	-	-
KC762629.1_2008-03-15	1I_K.4	1	1I	1I_K	1I_K.4	-	-	-
KC762631.1_2008-02-15	1I_K.4	1	1I	1I_K	1I_K.4	-	-	-
KC762647.1_2010-03-03	1I_K.4	1	1I	1I_K	1I_K.4	-	-	-
KF971870.1_2013-08-23	1I_K.6	1	1I	1I_K	1I_K.6	-	-	-
KY057369.1_2012	1I_K.3_outgroup	1	1I	1I_K	1I_K.3	-	-	outgroup
KY586334.1_2008	1I_K.5	1	1I	1I_K	1I_K.5	-	-	-
KY586336.1_2006	1I_K.5	1	1I	1I_K	1I_K.5	-	-	-
KY586366.1_2001	1I_K.7	1	1I	1I_K	1I_K.7	-	-	-
KY849723.1_2010-07-06	1I_K.5	1	1I	1I_K	1I_K.5	-	-	-
