lineage,change_type
1I_K.2,renamed
1I_K.1.1,new_lineage
1I_K.1.2,new_lineage
1I_K.3,renamed
1I_K.4,new_lineage
1I_K.5,new_lineage
1I_K.6,new_lineage
1I_K.7,new_lineage
1I_H.3,new_lineage
1I_E.1.1,new_lineage
1I_E.1.2,new_lineage
1I_E.3,new_lineage
1I_E.4,new_lineage
1V_E.1,new_lineage
1V_E.4,new_lineage
1V_E.2,new_lineage
1V_E.3,new_lineage
1V_D.1.1,new_lineage
1V_D.1.2,new_lineage
1V_H,new_lineage
1V_J,new_lineage
1III_A.1,new_lineage
1III_A.4,new_lineage
1III_A.3,new_lineage
1III_A.2,new_lineage
1VII,new_lineage
1VII_A,new_lineage
1VII_B,new_lineage
1VI,renamed
2V_A.1,closer_to_past
2V_A.1.1,new_lineage
2V_A.1.2,new_lineage
2V_A.1.3,new_lineage
2V_A.2,renamed
2III_D.3,closer_to_past
2III_E,new_lineage
2II_F.1,closer_to_past
2II_F.1.1,closer_to_past
2II_F.1.1.3,new_lineage
2II_F.1.1.4,new_lineage
2II_F.1.1.1,new_lineage
2II_F.1.1.5,new_lineage
2II_F.1.1.6,new_lineage
2II_F.1.1.2,new_lineage
2II_F.1.3,new_lineage
2II_F.1.2,renamed
2II_E.2,closer_to_past
2II_D.1.1,new_lineage
2II_D.1.2,new_lineage
2II_A.1.1,new_lineage
2II_A.1.1.1,new_lineage
2II_A.1.1.2,new_lineage
2II_A.1.2,new_lineage
3III_B.3.2,new_lineage
3III_B.3.1,new_lineage
3III_C.2,closer_to_past
3III_C.2.1,new_lineage
3III_C.2.2,new_lineage
3II_A.5,new_lineage
3II_A.2,renamed
3II_A.3,renamed
3II_A.4,new_lineage
3I_A.1.1,new_lineage
3I_A.1.2,new_lineage
4I_A.1,closer_to_past
4II_B.1,new_lineage
4II_B.1.1,new_lineage
4II_B.1.2,new_lineage
4II_B.2,new_lineage
4II_A.1,closer_to_past
