taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/AY496871.2_2002	AY496871.2_2002	3	3II	3II_B	-	-	3/3II/3II_B/-/-	AY496871.2_2002/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EHIE21409Y22_2022	EHIE21409Y22_2022	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	EHIE21409Y22_2022/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU081210.1_2005	EU081210.1_2005	3	3III	3III_A	3III_A.1	-	3/3III/3III_A/3III_A.1/-	EU081210.1_2005/3/3III/3III_A/3III_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU081214.1_2005	EU081214.1_2005	3	3III	3III_A	3III_A.1	-	3/3III/3III_A/3III_A.1/-	EU081214.1_2005/3/3III/3III_A/3III_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU081217.1_2005	EU081217.1_2005	3	3III	3III_A	3III_A.1	-	3/3III/3III_A/3III_A.1/-	EU081217.1_2005/3/3III/3III_A/3III_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU081225.1_2005	EU081225.1_2005	3	3III	3III_A	3III_A.1	-	3/3III/3III_A/3III_A.1/-	EU081225.1_2005/3/3III/3III_A/3III_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU482452.1_2006	EU482452.1_2006	3	3II	3II_A	3II_A.1	-	3/3II/3II_A/3II_A.1/-	EU482452.1_2006/3/3II/3II_A/3II_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU482456.1_2006	EU482456.1_2006	3	3II	3II_A	3II_A.1	-	3/3II/3II_A/3II_A.1/-	EU482456.1_2006/3/3II/3II_A/3II_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU482462.1_2007	EU482462.1_2007	3	3II	3II_A	3II_A.1	-	3/3II/3II_A/3II_A.1/-	EU482462.1_2007/3/3II/3II_A/3II_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU482559.1_1998	EU482559.1_1998	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	EU482559.1_1998/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU482566.1_1998	EU482566.1_1998	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	EU482566.1_1998/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU596494.1_2007	EU596494.1_2007	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	EU596494.1_2007/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU660411.1_2006	EU660411.1_2006	3	3II	3II_A	3II_A.1	-	3/3II/3II_A/3II_A.1/-	EU660411.1_2006/3/3II/3II_A/3II_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/EU687219.1_1999	EU687219.1_1999	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	EU687219.1_1999/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ390375.1_1999	FJ390375.1_1999	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	FJ390375.1_1999/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ410178.1_2002	FJ410178.1_2002	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	FJ410178.1_2002/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ432741.1_2007	FJ432741.1_2007	3	3II	3II_A	3II_A.1	-	3/3II/3II_A/3II_A.1/-	FJ432741.1_2007/3/3II/3II_A/3II_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ547074.1_2000	FJ547074.1_2000	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	FJ547074.1_2000/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ547077.1_2000	FJ547077.1_2000	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	FJ547077.1_2000/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ547081.1_2001	FJ547081.1_2001	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	FJ547081.1_2001/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ639715.1_2008	FJ639715.1_2008	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	FJ639715.1_2008/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ644564.1_2007	FJ644564.1_2007	3	3III	3III_B	-	-	3/3III/3III_B/-/-	FJ644564.1_2007/3/3III/3III_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ882573.1_1993	FJ882573.1_1993	3	3III	3III_A	-	-	3/3III/3III_A/-/-	FJ882573.1_1993/3/3III/3III_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ882576.1_1994	FJ882576.1_1994	3	3III	3III_C	-	-	3/3III/3III_C/-/-	FJ882576.1_1994/3/3III/3III_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/FJ898456.1_1995	FJ898456.1_1995	3	3I	3I_B	-	-	3/3I/3I_B/-/-	FJ898456.1_1995/3/3I/3I_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GQ868578.1_2007	GQ868578.1_2007	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	GQ868578.1_2007/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GU131850.1_2006	GU131850.1_2006	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	GU131850.1_2006/3/3III/3III_C/3III_C.2	-	-	-
